Response ID,Date submitted,Last page,Start language,Seed,Date started,Date last action,Gender,Age,Consent,Basket,Cheese,Cloud,Liquid,Nail,Cat,Dog ,Horse,Domestic,Hood,Routine,Symbol,Corridor,Peace,Ladder,Elephant,Dizzy,Poison,Hay,Mathematics,Giraffe,Squirrel,Echo,Bean,Lilac,Mouse,Tiger,Yellow,Orange,Black,Red,Grey,Blue,Brown,White,Beige,Green,Pink,Violet,Turquoise,Interest,Amusement,Pride,Joy,Contentment,Admiration,Love,Relief,Compassion,Purple,Pleasure,Sadness,Guilt,Regret,Shame,Disappointment,Maroon ,Fear,Disgust,Contempt,Hate,Anger,Profession,Native_language,Fluency,Fluency_other,Country_origin,Country_residence
9,2019-10-30 15:08:05,65,fr,,2019-10-30 14:44:26,2019-10-30 15:08:05,Male,18,Yes,"course, fruits, légumes","puanteur, aliment, France","ciel, pluie, liberté","boire, eau, rivière","main, vernis, corps","chien, paresse, griffe","amitié, chat, balade","course, paris, sauts","animal, soumission, infériorité","pluie, cheveux, tête","quotidien, sennuyer, surprise","langage, communication, évolution","porte, maison, passage","joie, blanc, liberté","monter, tomber, construction","lourd, trompe, souris","tourner, tomber, perdu","eau, locale, mer","ferme, terre, houe","calcul, problèmes, réflexion","grande, cou, long","rongeur,  noisette, arbres","solitude, vide, noir","légumes, verts, manger","fleur, doux, paisible","animal, petit, éléphant","féroce, colère, griffe","soleil, chaud, poussin","chaleur, rouge, soleil","vide, sombre, dangereux","colère, sang, haine","souris, couleur, poussière","ciel, eau, air","terre, boue, dégout","paix, feuille, noir","couleur, sable, marron","herbe, positif, fruits","fleur, odeur, femme","rouge, fauve, couleur","vert, bleu, eau","passion, envie, défi","rire, amis, joie","victoire, accomplissement, regret","bonheur, rire, vie","joyeux, satisfait, bonheur","grandeur, force, courage","rose, fleurs, sentiment","légèreté, libération, poids","empathie, compréhension, partage","mauve, raisin, vin","bonheur, joie, sourire","pleurs, sentiment, bleu","crime, honte, pensée","passé, pensée, erreur","cacher, petit, regret","défaite, échec, capacités","manger, bru, couleur","film, horreur, fantôme","saleté, puanteur, éloignement","méchant, tristesse, jugement","colère, horreur, noir","haine, conflit, erreur",étudiant,français,8 (Fluent),,Suisse,Suisse
10,2019-10-30 15:03:17,65,fr,,2019-10-30 14:44:34,2019-10-30 15:03:17,Female,19,Yes,"fruit, osier, transport","odeur, nourriture, jaune","blanc, ciel, bleu","fluide, eau, mouvement","vernis, longueur, hestétique","animal, douceur, ronronnement","animal, compagnie, poils","equitation, fer, balade","animal, travaux, apprivoisement","veste, plus, chaperon rouge","répétition, ennui, habitude","logo, forme, autocollant","passage, long, bâtiment","dieux, colombe, guerre","hauteur, bois, long","animal, intelligence, savane","lune, déconcentrer, occupé","carpe, tatouage, signe astrologique","ferme, vache, champ","difficulté, chiffre, statistiques","Jaune, taches, brun","animal, saut, arbre","voix, bruit, répercussion",verts petits-pois cosse,"mauve, violet, fleur","gris, petit animal, ordinateur","félin, rayures, orange","poussin, oeuf, soleil","fruit, couleur, soleil","couleur, peinture, goudron","poisson, couleur, flamme","souris, cinema, noir et blanc","ciel, turquoise, eau","marron, châtaigne, couleur","neige, couleur, ski","chameau, sable, labrador","sapin, clair, foncé","fleur, couleur, bouquet","rouge, roux, invariable",Bleu lac vert,"passion, divertissement, occupation","joie, jeux, famille","honneur, réussite, accomplissement","amour, rayonner, bonheur","content, suffisant, satisfaction","éloge, admiration, mérite","passion, joie, relation","paix, sérénité, soupire","compréhension, sentiment, comparaison","mauve, couleur, raisin","joie, sex, humeur","larmes, peine, froid","remord, regret, tristesse","remords, tristesse, acte","malaise, gène, mauvais","tristesse, remord, larmes","brun, châtaignes, marronnier","effroi, noir, film","horreur, refoulement, mal être","haine, jalousie, envie","sentiment, noir, horreur","rouge, noire, mécontentement",étudiant,français,8 (Fluent),,Suisse,Suisse
11,2019-10-30 15:10:15,65,fr,,2019-10-30 14:51:47,2019-10-30 15:10:15,Male,21,Yes,osier pic-nique sac,"nourriture, gruyère, emmental","eau, ciel, blanc","eau, état, matière","mains, couper, keratine",animal noir félin,"canin, animal, meilleur ami de lhomme",écurie paille selle,chien maison relation,"caché, confortable, inconnu","ennuyeux, répétitif, mortel","représentation, image, signe","allée, fermé, étroit","société, moderne, intelligent","mesure, outil, distance","géant, afrique, trompe","déboussolé, assomé, difficile","toxic, dangereux, passionant","allergie, rhume, bordellique","abstrait, concret, inspirant","afrique, jaune, géant","animal, arbre, noisette","Montagne, tunnel, résonnance","légume, cuisine, délicieux","sympathique, fleur, odeur","informatique, animal, rapide","animal, asiatique, impressionant",soleil joie urine,"orange, sucré, jus","sombre, important, difficile","passion, colère, haine",ennui monotone essentiel,océan eau piscine,"bois, chêne, chalet","pure, intacte, vertueux","bois, anglais, calme","nature, plantes, photosynthèse","rose, naif, moche","couleur, rouge, violet","plage, mer, bleu clair",passion travail exploration,"loisir, internet, cinéma","représentation, bonheur, accomplissement","sentiment, heureux, rare","triste, sage, ambigue","inspiration, exemple, grandeur","mensonge, mythe, vérité",gris brise calme,"aide, bienveillance, naturel","mystère, pouvoir, exploration",joie passion amour,"sentiment, difficile, soulageant",poids lourd remord,"insatisfaction, dépression, ingérable","mensonge, surpris, séparation","triste, regret, wishful thinking","brun, délicieux, dur","bleu, frisson, terreur","vomit, maux destomac, répugnant","impardonnable, irraisonnable, négatif","violence, domination, respect","Violence, rouge, nécessaire",étudiant,français,8 (Fluent),,Suisse,Suisse
13,2019-10-30 15:35:48,65,fr,,2019-10-30 15:10:07,2019-10-30 15:35:48,Male,20,Yes,"courses, rempli, chariot","trou, odeur, raclette","ciel, pluie, brume","fluide, physique, hydratation","vernis, couper, ronger","animal, domestique, foyer","animal, domestique, ami","animal, équitation, écurie","animal, maison, ménage","pluie, caché, style","habitude, quotidien, répétitif","signes, étranges, décryptage","passage, transition, foyer","amour, accord, pacifiste","hauteur, objet, travaux","animal, trompe, gris","bizarre, fatigué, tête-en-lair","toxique, crime, empoisonnement","nourriture, ferme, bottes","science, chiffres, calculs","cou, animal, tacheté","animal, gland, herbivore","répétition, bruit, son","vert, salade, mauvais","fleur, couleur, filette","animal, petit, trou","animal, rapide, féroce","soleil, fromage, pisse","fruit, couleur, beurette","simple, couleur, humain","sang, tomate, couleur","chats, nuit, nuages","ciel, eau, terre","excrément, tronc darbre, nid","cheveux, couleur, ours","labrador, tronc darbre, mur","herbe, beuh, insectes","couleur, fleur, fillette","fleur, couleur, mur","couleur, mer, bleu-vert","satisfait, amour, passion","joie, plaisir, bon temps","satisfait, hautain, transmission","bonheur, satisfaction, plaisir","sourire, satisfaction, appréciation","envieux, jaloux, content","relation, sexe, famille","libération, rassuré, meilleur","compréhensif, attentif, partage","couleur, peinture, fleur","joie, bonheur, satisfaction","larmes, déception, bad-mood","regret, crime, changement","déception, passé, nostalgie","regret, mal à laise, changement","tristesse, étonnement, rage","marrons, gland, cheveux","angoisse, noir, monstres","déception, écoeuré, étonné","supériorité, snober, hautain","rage, colère, état second","rage, fâché, énervé",Etudiant,Français,8 (Fluent),,"Suisse, Espagne et Italie",Suisse
15,2019-10-30 15:37:41,65,fr,,2019-10-30 15:11:32,2019-10-30 15:37:41,Female,20,Yes,"course, plein, basket","bon, camembert, odeur","gris, blanc, ciel","eau, boisson, transparent","faux, long, ronger","poil, maison, mignon","animal, poils, chou","équitation, animal, écurie","maison, animal, travail","sweat, veste, pull","habitude, quotidien, ennui","dessin, image, objet","maison, escalier, étroit","amour, guerre, hippies","mesure, grimper, escalader","rose, gris, lourd","fatigue, oubli, perdu","toxique, mauvais, mortel","chevaux, nourriture, paille","chiffres, équations, difficile","jaune, brun, cou","noisette, noix, roux","répétition, voix, montagne","vert, légumineuse, fer","violet, fleur, pastel","rat, petit, fromage","animal, griffe, chat","soleil, citron, maladie","fruit, couleur, feu","nuit, peur, foncé","amour, sang, règle","ciel, hiver, chat","ciel, eau, océan","yeux, excrément, terre","neige, hiver, noix de coco","pantalon, mur, pull","haricot, herbe, drogue","vie, couleur, fille","couleur, livre, viol","bleu, vert, couleur","égoisme, envie, argent","joie, instant, enfants","réussite, vainqueur, trophée","bonheur, réussite, heureux","réussite, assez, satisfaction","succès, idole, envie","couple, plaisir, famille","repos, soupir, réussite","compréhensif, partage, affectueux","couleur, lilas, pourpre","amour, envie, chocolat","larme, pleurer, eau","crime, regret, changement","passé, nostalgie, déception","faute, dégout, shame","tristesse, regret, échec","yeux, marrons, couleur","effroyable, cri, angoisse","vomi, répulsif, sale","hautain, supérieur, inférieur","amour, détester, haïr","rouge, haine, nerf",étudiant,français,8 (Fluent),,Suisse,suisse
16,2019-10-30 15:47:14,65,fr,,2019-10-30 15:15:04,2019-10-30 15:47:14,Female,20,Yes,"fruit, marché, basket","diversité, lactose, quotidien","ciel, pluie, légérté","eau, boire, courant","griffe, vernis, piano","souplesse, amour, chasse","chat, compagnon, maison","travail, manège, guerre","animaux, maison, violence","protection, froid, vêtement","train, ennui, voyage","tatouage, langue, importance","moquette, plafond, boîte","monde, harmonie, silence","escalade, mur, force","ivoire, imposant, cirque","oubli, lune, concentration","liquide, relation, mort","ferme, animaux, jaune","branche, logique, école","zoo, safari, grand","hibernation, histoire, vitesse","montage, musique, effet","vert, légume, magie","fleur, couleur, fille","fromage, rat, chat","sauvage, dent, félin","pollen, or, couleur","terre, fruit, couleur","soulage, habits, force","trahison, empreur, soleil","ciel, neutre, ouverture","mer, primaire, déclinaison","garçon, couleur, vert","cheval, pureté, douleur","manteau, sable, doux","couleur, arbre, espoir","couleur, fleur, bébé","sang, confort, moquette","pierre, eau, couleur","passion, éducation, personne","joie, relâchement, sourire","soeur, radieux, grandeur","bonheur, soleil, tristesse","médiocre, flexible, facile","entourage, étoile, espoir","puissance, lien, problème","douleur, sentiment, paix","empathie, sentiment, violence","saison, rouge, linéaire","joie, amour, folie","vide, solitude, poids","faute, douleur, personne","ventre, décision, peur","bas, peine, faute","amour, tristesse, douleur","arbre, nourriture, brun","froid, douleur, bloquage","nourriture, fort, haine","autrui, violence, moche","génération, négatif, positif","yeux, feu, puissant",étudiante,français,8 (Fluent),,suisse,suisse
17,2019-10-30 15:47:33,65,fr,,2019-10-30 15:16:12,2019-10-30 15:47:33,Female,20,Yes,"pomme, pic-nic,  baluchon","jaune, moisissure, raclette","ciel, pluie, gris","eau, mer, boisson","cheveux, agressif, griffer","chien, doux, griffe","chat, laisse, fidélité","pré, animal, sabot","chien, chat, Nestor","chaperon, pluie, agressif","dépression, recommencement, lassitude","pendentif, rond, signification","froid, sombre, lugubre","colombe, poignée de main, guerre","échelon, monter, toit","gros, lourd, savane","étoile, tourner, inconscience","tête de mort, danger, mort","vache, herbe, moissonneuse","rouge, intellectuelle, logique","grand, jaune, cou","rongeur, noisette, forêt","montagne, désert, répétition","vert, jardin, légume","fleur, douceur, mauve","fromage, chat, petite","griffe, savane, félin","Soleil, chaud, été","jaune, tigre, chaud","nuit, peur, sombre","criard, sport, interdiction","mur, brouillard, nuage","ciel, peur, eau","tronc, cheveux, pelage","neige, oeuf, pure","Pelage, pull, parquet","nature, ver de terre, forêt","bonbon, kitsch, sucre","terre, poterie, rivière","pierre précieuse, lac, valeur","curiosité, intelligence, question","sourire, rire, jeu","réussite, arrogance, satisfaction","sauter, été, rire","satisfaction, réussite, objectif","hauteur, envie, jalousie","coeur, famille, affection","soupir, stress, bleu","ami, réconfort, soutient","rose, fleur, mauve","bonheur, bien-être, sourire","larme, vidé, bleu","regret, déception, gêne","déception, mal-être, tard","rouge, malaise, fuite","malaise, désillusion, soupir","brun, châtaigne, yeux","Frisson, angoisse, sombre","vomi, grimace, puanteur","ignorer, méchanceté, froideur","noir, détester, violence","rouge, violence, cris",Etudiant (psychologie unil),Français,8 (Fluent),,Suisse,Suisse
18,2019-10-30 15:50:34,65,fr,,2019-10-30 15:18:34,2019-10-30 15:50:34,Female,19,Yes,"commission, osier, basketball","trous, puanteur, souris","ciel, blanc, pluie","eau, transparence, fuide","doigt, manucure, main","griffe, animal, lait","animal, chat, bâtard","écurie, animal, steak","inérieur, dressable, service","pluie, vêtement, pull","ennuie, quotidien, habitude","signe, écriture, code","paasage, chemin, maison","amour, croix, bient-être","hauteur, échellon, gravir","trompe, eau, animal","inattentif, perdu, abscence","mort, toxique, empoisonnement","paille, fourche, aiguille","calcul, équation, école","cou, long, animal","noix, arbre, animal","répétition, son, bruit","légume, salade, pois","fleur, prénom, fillette","fromage, rat, champs","rayure, animal, lion","soleil, couleur, oeuf","fruit, couler, chaleur","couler, sombre, nuit","violence, rage, amour","couleur, nuage, terne","ciel, couleur, piscine","couleur, yeux, chocolat","vierge, couleur, ange","couleur, peinture, tapis","nature, environnement, bouteille","fleur, couleur, fille","couleur, lèvre, fleur","mer, eau, couleur","apprécier, aimer, passion","joie, satisfaction, bonheur","supériorité, satisfaction, nation","bonheur, plaisir, amusement","fade, minimum, réductionniste","envieux, respectueux, regard","coeur, rouge, sentiment","libération, délivrance, souffle","compréhensif, attentif, attentionné","couler, fleur, froid","satisfaction, joie, bonheur","larme, émotion, faiblesse","regret, crime, changement","nostalgie, changement, passé","rougir, invisibilité, regret","regret, tristesse, colère","marrons, brun, couleur","effrois, sueur, panique","horreur, déception, écoeuré","ignorance, colère, émotion","colère, rage, mépris","aggressivité, énervement, sang",étudiante,français,8 (Fluent),,suisse,suisse
19,2019-10-30 15:51:08,65,fr,,2019-10-30 15:24:40,2019-10-30 15:51:08,Female,18,Yes,osier basket corbeille,trou jaune odeur,gris pluie blanc,eau lait thé,vernis rongé main,moustache lait chien,os chat balle,sabot cavalier monture,chat animal bonne,veste froid pluie,habitude quotidien ennuyeux,image mathématique signe,maison long porte,blanc colombe justice,monter malheur notes,trompe défense souris,tête oublier idiot,venin bouteille injecter,campagne animaux ferme,calcul mathématique algèbre,long cou jaune,gland queue arbre,grotte répéter chauve-souris,vert pois gousse,violet fleur couleur,petit gris trou,tigré félin dangereux,soleil joie rayonnant,fruit vitamine pressé,chat nuit blanc,sang amour colère,ciel triste froid,ciel ecchymose eau,ours bois cheveux,lait paix nuage,sable fourrure caramel,feuille nature écologie,épine couleur fleur,pieuvre tissu vin,pierre bleu vert,banque loisirs hobby,parc dattraction jouer heureux,heureux gagner égo,heureux sourire jaune,sourire satisfaction accord,gagnant heureux réussite,coeur rose bonheur,blessure heureux paix,émotion empathie aide,fleur couleur bleu,gourmandise heureux joie,bleu larme malheureux,honte remords sentiments,triste muguet violet,blanc caché peur,triste malheureux attentes,chaud chaussure automne,phobie noir souris,sentiment repoussant éviter,haine hautain méchant,violence rage colère,rouge énervé violence,étudiante,tamoul,8 (Fluent),,Suisse,Suisse
20,2019-10-30 16:21:47,65,fr,,2019-10-30 15:34:52,2019-10-30 16:21:47,Female,22,Yes,"Pique-nique, marché, légumes","Souris, raclette, chalet","Toucher, blanc, coussin","Eau, fluide, infiltration","Lime, long, vernis","Noir, doux, croquettes","Compagnon, ami, fidèle","Balade, dressage, puissant","Chien, esclave, laisse","Veste, protection, pluie","Habitudes, répétitif, ennui","Jeux, mathématique, géométrie","Long, froid, sombre","Guerre, silence, seul","Notes, toit, arbre","Défense, majestueux, protection","Lourdeur, fatigue, chaleur","Meurtre, espion, rat","Cheval, tracteur, jaune","Horreur, illogique, mauvais","Cou, jaune, savane","Mignon, petit, forêt","Montagne, résonne, bruit","Vert, cuisine, potager","Printemps, fleur, chaud","Chat, fromage, cage","Sauvage, félin, disparition","Soleil, pissenlit, chaud","Jus, fruit, été","Chat, enterrement, mort","Feu, séduction, haine","Temps, tristesse, couleur","Océan, yeux, ciel","Dégout, pourri, vers","Neige, mur, malaise","Doux, chaleur, manteaux","Herbe, écologie, recyclage","Fleur, niais, ennuyant","Prétentieux, poudre, peinture","Mer, Caraïbes, plage","Activité, passion, personne","Joie, jeux, groupe","Réussite, accomplissement, étude","Heureux, chaud, vacances","Mou, lent, inintéressant","Regard, mâchoire, statique","Chaud, papillon, excitation","Poids, détente, confort","Altruisme, aide, peine","Lutte, femme, grève","Lire, sortir, amis","Larmes, rupture, échec","Remords, malaise, évitement","Mal, triste, remords","Rouge, chaud, malaise","Échec, examens, étude","Yeux, chasse, chaud","Bleu, sueur, accident","Sale, poubelle, vomi","Jugement, méchant, regard","Rouge, méchant, peur","Rouge, feu, crispation",Étudiante,Français,8 (Fluent),,Suisse,Suisse
