participant_id,age,gender,occupation,language,narrative
1,42,Male,writer,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
1,42,Male,writer,Spanish,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
1,42,Male,writer,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
2,34,Non-binary,nurse,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
2,34,Non-binary,nurse,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
2,34,Non-binary,nurse,Hindi,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
3,21,Non-binary,teacher,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
3,21,Non-binary,teacher,Spanish,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
3,21,Non-binary,teacher,Hindi,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
4,56,Non-binary,administrator,English,"It was an ordinary day, but my mind kept returning to the future and what it might look like. I balanced moments of worry with moments of steady focus. By the evening, I felt more grounded than earlier."
4,56,Non-binary,administrator,Spanish,"I faced a few challenges today at work and at home, but nothing too serious. I tried to stay patient with myself and keep things in perspective. A part of me still feels uncertain, but I'm also aware that things could improve soon."
4,56,Non-binary,administrator,Hindi,"The day was busy, but not overwhelming. I spent time thinking about the changes I want to make and whether I have the energy to follow through. Even so, I felt a quiet optimism while going about my routine."
5,64,Non-binary,shop worker,English,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
5,64,Non-binary,shop worker,Spanish,"I spent most of the day trying to stay organised and avoid feeling scattered. Some tasks were harder than expected, but I kept going. I felt a blend of mild stress and determination, mixed with a small sense of progress."
5,64,Non-binary,shop worker,Hindi,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
6,28,Female,driver,English,"Today I felt a mix of pressure and hope as I tried to keep up with everything happening in my life. I managed my responsibilities, but I still worry about whether I'm moving in the right direction. Still, there were small moments that made me feel calmer."
